node,node_name,category,asset_type,asset_id,data_model_id,data_model_name,data_pool_id,data_pool_name
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.data_job_id,data_model_tables.data_job_id,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.table_id,data_model_tables.table_id,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.table_name,data_model_tables.table_name,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.row_count,data_model_tables.row_count,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.mode,data_model_tables.mode,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.data_model_id,data_model_tables.data_model_id,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.table_schema,data_model_tables.table_schema,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.table_alias_or_name,data_model_tables.table_alias_or_name,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.associated_objects_events_entity,data_model_tables.associated_objects_events_entity,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.extraction_step_tables.task_created_at,extraction_step_tables.task_created_at,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.extraction_step_tables.table_id,extraction_step_tables.table_id,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.task_execution_events.name,task_execution_events.name,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.task_execution_events.task_type,task_execution_events.task_type,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.task_executions.mode,task_executions.mode,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.task_executions.last_end_time,task_executions.last_end_time,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.task_executions.task_execution_time,task_executions.task_execution_time,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.task_executions.last_status,task_executions.last_status,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.task_executions.last_start_time,task_executions.last_start_time,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.task_executions.message,task_executions.message,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
